1000_GRAIN_WEIGHT,PLANT_HEIGHT,LODGING_PERCENT_HARVESTED_AREA,AGRONOMIC_SCORE,DAYS_TO_HEADING,RELATIVE_MATURITY,LEAF_RUST,STRIPE_RUST_ON_LEAF,SELECTED_CHECK_MARK,STEM_RUST,DAYS_TO_MATURITY,SEPTORIA_SPECIES,TEST_WEIGHT,GRAIN_PROTEIN,GRAIN_SDS_SEDIMENTATION,SEDIMENTATION_INDEX,YELLOW_COLOR_VALUE,FUSARIUM_SPP,OTHER_UNIDENTIFIED_FOLIAR_BLIGHTS,GRAINS_SPIKE,MOISTURE_PERCENTAGE,SPIKE_LENGTH,TILLERS_BY_METER,POWDERY_MILDEW,GLUTEN_CONTENT,GRAIN_YIELD
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,11.7,6.6,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,11.7,7,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,11.7,7,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,12.1,6.6,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,12.1,6.6,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,12.1,7,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,12.1,7,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,11.7,6.6,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,11.7,6.6,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,11.7,7,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,11.7,7,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,12.1,6.6,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,12.1,6.6,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,12.1,7,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,12.1,7,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,11.7,6.6,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,11.7,6.6,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,11.7,7,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,11.7,7,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,12.1,6.6,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,12.1,6.6,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,12.1,7,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,12.1,7,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,11.7,6.6,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,11.7,6.6,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,11.7,7,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,11.7,7,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,12.1,6.6,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,12.1,6.6,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,12.1,7,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,12.1,7,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,11.7,6.6,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,11.7,6.6,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,11.7,7,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,11.7,7,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,12.1,6.6,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,12.1,6.6,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,12.1,7,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,12.1,7,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,11.7,6.6,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,11.7,6.6,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,11.7,7,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,11.7,7,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,12.1,6.6,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,12.1,6.6,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,12.1,7,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,12.1,7,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,11.7,6.6,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,11.7,6.6,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,11.7,7,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,11.7,7,282,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,12.1,6.6,288,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,12.1,6.6,282,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,12.1,7,288,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,12.1,7,282,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,11.7,6.6,288,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,11.7,6.6,282,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,11.7,7,288,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,11.7,7,282,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,65,12.1,6.6,288,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,65,12.1,6.6,282,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,65,12.1,7,288,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,65,12.1,7,282,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,65,11.7,6.6,288,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,65,11.7,6.6,282,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,65,11.7,7,288,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,65,11.7,7,282,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,12.1,6.6,288,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,12.1,6.6,282,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,12.1,7,288,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,12.1,7,282,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,11.7,6.6,288,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,11.7,6.6,282,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,11.7,7,288,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,11.7,7,282,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,65,12.1,6.6,288,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,65,12.1,6.6,282,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,65,12.1,7,288,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,65,12.1,7,282,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,65,11.7,6.6,288,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,65,11.7,6.6,282,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,65,11.7,7,288,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,65,11.7,7,282,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,44,12.1,6.6,288,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,44,12.1,6.6,282,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,44,12.1,7,288,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,44,12.1,7,282,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,44,11.7,6.6,288,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,44,11.7,6.6,282,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,44,11.7,7,288,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,44,11.7,7,282,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,65,12.1,6.6,288,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,65,12.1,6.6,282,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,65,12.1,7,288,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,65,12.1,7,282,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,65,11.7,6.6,288,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,65,11.7,6.6,282,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,65,11.7,7,288,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,65,11.7,7,282,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,44,12.1,6.6,288,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,44,12.1,6.6,282,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,44,12.1,7,288,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,44,12.1,7,282,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,44,11.7,6.6,288,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,44,11.7,6.6,282,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,44,11.7,7,288,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,44,11.7,7,282,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,65,12.1,6.6,288,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,65,12.1,6.6,282,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,65,12.1,7,288,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,65,12.1,7,282,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,65,11.7,6.6,288,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,65,11.7,6.6,282,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,65,11.7,7,288,,,4
31,82.8,0,5,90,,,,,,122,,,,,,,,8,65,11.7,7,282,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,44,12.1,6.6,288,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,44,12.1,6.6,282,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,44,12.1,7,288,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,44,12.1,7,282,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,44,11.7,6.6,288,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,44,11.7,6.6,282,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,44,11.7,7,288,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,44,11.7,7,282,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,65,12.1,6.6,288,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,65,12.1,6.6,282,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,65,12.1,7,288,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,65,12.1,7,282,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,65,11.7,6.6,288,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,65,11.7,6.6,282,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,65,11.7,7,288,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,65,11.7,7,282,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,44,12.1,6.6,288,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,44,12.1,6.6,282,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,44,12.1,7,288,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,44,12.1,7,282,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,44,11.7,6.6,288,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,44,11.7,6.6,282,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,44,11.7,7,288,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,44,11.7,7,282,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,65,12.1,6.6,288,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,65,12.1,6.6,282,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,65,12.1,7,288,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,65,12.1,7,282,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,65,11.7,6.6,288,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,65,11.7,6.6,282,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,65,11.7,7,288,,,4
31,82.8,0,5,88,,,,,,125,,,,,,,,8,65,11.7,7,282,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,44,12.1,6.6,288,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,44,12.1,6.6,282,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,44,12.1,7,288,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,44,12.1,7,282,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,44,11.7,6.6,288,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,44,11.7,6.6,282,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,44,11.7,7,288,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,44,11.7,7,282,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,65,12.1,6.6,288,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,65,12.1,6.6,282,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,65,12.1,7,288,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,65,12.1,7,282,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,65,11.7,6.6,288,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,65,11.7,6.6,282,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,65,11.7,7,288,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,65,11.7,7,282,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,44,12.1,6.6,288,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,44,12.1,6.6,282,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,44,12.1,7,288,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,44,12.1,7,282,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,44,11.7,6.6,288,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,44,11.7,6.6,282,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,44,11.7,7,288,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,44,11.7,7,282,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,65,12.1,6.6,288,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,65,12.1,6.6,282,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,65,12.1,7,288,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,65,12.1,7,282,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,65,11.7,6.6,288,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,65,11.7,6.6,282,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,65,11.7,7,288,,,4
31,82.8,0,5,88,,,,,,122,,,,,,,,8,65,11.7,7,282,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,44,12.1,6.6,288,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,44,12.1,6.6,282,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,44,12.1,7,288,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,44,12.1,7,282,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,44,11.7,6.6,288,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,44,11.7,6.6,282,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,44,11.7,7,288,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,44,11.7,7,282,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,65,12.1,6.6,288,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,65,12.1,6.6,282,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,65,12.1,7,288,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,65,12.1,7,282,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,65,11.7,6.6,288,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,65,11.7,6.6,282,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,65,11.7,7,288,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,65,11.7,7,282,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,44,12.1,6.6,288,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,44,12.1,6.6,282,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,44,12.1,7,288,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,44,12.1,7,282,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,44,11.7,6.6,288,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,44,11.7,6.6,282,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,44,11.7,7,288,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,44,11.7,7,282,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,65,12.1,6.6,288,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,65,12.1,6.6,282,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,65,12.1,7,288,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,65,12.1,7,282,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,65,11.7,6.6,288,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,65,11.7,6.6,282,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,65,11.7,7,288,,,4
31,82.8,0,4,90,,,,,,125,,,,,,,,8,65,11.7,7,282,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,44,12.1,6.6,288,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,44,12.1,6.6,282,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,44,12.1,7,288,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,44,12.1,7,282,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,44,11.7,6.6,288,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,44,11.7,6.6,282,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,44,11.7,7,288,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,44,11.7,7,282,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,65,12.1,6.6,288,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,65,12.1,6.6,282,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,65,12.1,7,288,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,65,12.1,7,282,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,65,11.7,6.6,288,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,65,11.7,6.6,282,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,65,11.7,7,288,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,65,11.7,7,282,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,44,12.1,6.6,288,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,44,12.1,6.6,282,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,44,12.1,7,288,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,44,12.1,7,282,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,44,11.7,6.6,288,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,44,11.7,6.6,282,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,44,11.7,7,288,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,44,11.7,7,282,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,65,12.1,6.6,288,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,65,12.1,6.6,282,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,65,12.1,7,288,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,65,12.1,7,282,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,65,11.7,6.6,288,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,65,11.7,6.6,282,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,65,11.7,7,288,,,4
31,82.8,0,4,90,,,,,,122,,,,,,,,8,65,11.7,7,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,12.1,6.6,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,12.1,6.6,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,12.1,7,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,12.1,7,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,11.7,6.6,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,11.7,6.6,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,11.7,7,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,11.7,7,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,12.1,6.6,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,12.1,6.6,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,12.1,7,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,12.1,7,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,11.7,6.6,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,11.7,6.6,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,11.7,7,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,11.7,7,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,12.1,6.6,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,12.1,6.6,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,12.1,7,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,12.1,7,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,11.7,6.6,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,11.7,6.6,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,11.7,7,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,44,11.7,7,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,12.1,6.6,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,12.1,6.6,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,12.1,7,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,12.1,7,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,11.7,6.6,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,11.7,6.6,282,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,11.7,7,288,,,4
31,82.8,0,4,88,,,,,,125,,,,,,,,8,65,11.7,7,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,12.1,6.6,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,12.1,6.6,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,12.1,7,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,12.1,7,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,11.7,6.6,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,11.7,6.6,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,11.7,7,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,11.7,7,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,12.1,6.6,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,12.1,6.6,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,12.1,7,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,12.1,7,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,11.7,6.6,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,11.7,6.6,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,11.7,7,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,11.7,7,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,12.1,6.6,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,12.1,6.6,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,12.1,7,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,12.1,7,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,11.7,6.6,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,11.7,6.6,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,11.7,7,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,44,11.7,7,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,12.1,6.6,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,12.1,6.6,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,12.1,7,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,12.1,7,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,11.7,6.6,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,11.7,6.6,282,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,11.7,7,288,,,4
31,82.8,0,4,88,,,,,,122,,,,,,,,8,65,11.7,7,282,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,12.1,6.6,288,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,12.1,6.6,282,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,12.1,7,288,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,12.1,7,282,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,11.7,6.6,288,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,11.7,6.6,282,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,11.7,7,288,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,44,11.7,7,282,,,4
31,82.8,0,5,90,,,,,,125,,,,,,,,8,65,12.1,6.6,288,,,4
